thr,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.01,tp,77.0,fit-age-sex-bloods,0,60.475,95.09999999999997,60.475,95.09999999999997
0.0141,tp,73.0,fit-age-sex-bloods,0,58.0,91.52499999999999,58.0,91.52499999999999
0.02,tp,66.0,fit-age-sex-bloods,0,51.475,81.52499999999999,51.475,81.52499999999999
0.03,tp,60.0,fit-age-sex-bloods,0,47.0,77.0,47.0,77.0
0.04,tp,55.0,fit-age-sex-bloods,0,43.475,70.52499999999999,43.475,70.52499999999999
0.05,tp,52.0,fit-age-sex-bloods,0,41.475,65.52499999999999,41.475,65.52499999999999
0.1,tp,36.0,fit-age-sex-bloods,0,26.475,46.04999999999998,26.475,46.04999999999998
0.2,tp,20.0,fit-age-sex-bloods,0,11.0,30.049999999999983,11.0,30.049999999999983
0.005,fp,2137.0,fit-age-sex-bloods,0,2074.8,2199.6749999999997,2074.8,2199.6749999999997
0.01,fp,1320.0,fit-age-sex-bloods,0,1263.325,1370.0,1263.325,1370.0
0.0141,fp,1018.0,fit-age-sex-bloods,0,967.95,1073.625,967.95,1073.625
0.02,fp,720.0,fit-age-sex-bloods,0,671.275,775.525,671.275,775.525
0.03,fp,501.0,fit-age-sex-bloods,0,458.9,544.525,458.9,544.525
0.04,fp,373.0,fit-age-sex-bloods,0,343.0,414.575,343.0,414.575
0.05,fp,291.0,fit-age-sex-bloods,0,263.475,328.15,263.475,328.15
0.1,fp,115.0,fit-age-sex-bloods,0,92.9,134.575,92.9,134.575
0.2,fp,25.0,fit-age-sex-bloods,0,14.475,35.0,14.475,35.0
0.005,tn,2777.0,fit-age-sex-bloods,0,2713.95,2837.0,2713.95,2837.0
0.01,tn,3594.0,fit-age-sex-bloods,0,3542.475,3649.525,3542.475,3649.525
0.0141,tn,3896.0,fit-age-sex-bloods,0,3836.225,3948.525,3836.225,3948.525
0.02,tn,4194.0,fit-age-sex-bloods,0,4142.9,4246.15,4142.9,4246.15
0.03,tn,4413.0,fit-age-sex-bloods,0,4359.85,4450.15,4359.85,4450.15
0.04,tn,4541.0,fit-age-sex-bloods,0,4493.275,4570.0,4493.275,4570.0
0.05,tn,4623.0,fit-age-sex-bloods,0,4577.425,4658.1,4577.425,4658.1
