thr_fit,thr_mod,metric_name,metric_value,model_name,q025,q975,ci_low,ci_high
10,0.0114119431915385,fn_fit,16.0,fit-age-sex,8.0,23.52499999999999,8.0,23.52499999999999
10,0.0114119431915385,pp_fit,1253.0,fit-age-sex,1180.325,1298.525,1180.325,1298.525
10,0.0114119431915385,pn_fit,3747.0,fit-age-sex,3701.475,3819.6749999999997,3701.475,3819.6749999999997
10,0.0114119431915385,pp_per_cancer_fit,17.900000000000002,fit-age-sex,14.488241780272654,23.805315674891137,14.488241780272654,23.805315674891137
10,0.0114119431915385,pp1000_fit,250.6,fit-age-sex,236.065,259.705,236.065,259.705
10,0.0114119431915385,pn1000_fit,749.4,fit-age-sex,740.295,763.935,740.295,763.935
10,0.0114119431915385,tp1000_fit,14.0,fit-age-sex,10.495,17.304999999999996,10.495,17.304999999999996
10,0.0114119431915385,fp1000_fit,236.6,fit-age-sex,223.38,245.63,223.38,245.63
10,0.0114119431915385,tn1000_fit,746.1999999999999,fit-age-sex,736.9899999999999,761.105,736.9899999999999,761.105
10,0.0114119431915385,fn1000_fit,3.2,fit-age-sex,1.6,4.704999999999998,1.6,4.704999999999998
10,0.0114119431915385,sens_mod,0.813953488372093,fit-age-sex,0.7438265306122449,0.901949501889385,0.7438265306122449,0.901949501889385
10,0.0114119431915385,spec_mod,0.7466422466422467,fit-age-sex,0.7368810338830404,0.7608179571268862,0.7368810338830404,0.7608179571268862
10,0.0114119431915385,ppv_mod,0.053231939163498096,fit-age-sex,0.0400919955141235,0.06684644375919542,0.0400919955141235,0.06684644375919542
10,0.0114119431915385,npv_mod,0.9956580732700135,fit-age-sex,0.9933907917476157,0.9978377046218505,0.9933907917476157,0.9978377046218505
10,0.0114119431915385,tp_mod,70.0,fit-age-sex,52.475,88.0,52.475,88.0
10,0.0114119431915385,fp_mod,1245.0,fit-age-sex,1176.275,1294.1,1176.275,1294.1
10,0.0114119431915385,tn_mod,3669.0,fit-age-sex,3621.425,3744.0,3621.425,3744.0
10,0.0114119431915385,fn_mod,16.0,fit-age-sex,8.0,24.52499999999999,8.0,24.52499999999999
10,0.0114119431915385,pp_mod,1315.0,fit-age-sex,1240.0,1362.1,1240.0,1362.1
10,0.0114119431915385,pn_mod,3685.0,fit-age-sex,3637.9,3760.0,3637.9,3760.0
10,0.0114119431915385,pp_per_cancer_mod,18.78571428571429,fit-age-sex,14.964204545454546,24.950979680696655,14.964204545454546,24.950979680696655
10,0.0114119431915385,pp1000_mod,263.0,fit-age-sex,248.0,272.42,248.0,272.42
10,0.0114119431915385,pn1000_mod,737.0,fit-age-sex,727.5799999999999,752.0,727.5799999999999,752.0
10,0.0114119431915385,tp1000_mod,14.0,fit-age-sex,10.495,17.6,10.495,17.6
10,0.0114119431915385,fp1000_mod,249.0,fit-age-sex,235.255,258.82,235.255,258.82
10,0.0114119431915385,tn1000_mod,733.8,fit-age-sex,724.285,748.8000000000001,724.285,748.8000000000001
10,0.0114119431915385,fn1000_mod,3.2,fit-age-sex,1.6,4.9049999999999985,1.6,4.9049999999999985
10,0.0114119431915385,proportion_reduction_tests,0.04948124501197127,fit-age-sex,0.03148044559189138,0.07026717788239684,0.03148044559189138,0.07026717788239684
10,0.0114119431915385,delta_sens,0.0,fit-age-sex,-0.032354166666666684,0.03373106060606064,-0.032354166666666684,0.03373106060606064
10,0.0114119431915385,delta_tp,0.0,fit-age-sex,-2.525,3.0,-2.525,3.0
