model,threshold,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
all,0.03,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,net_intervention_avoided,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,net_intervention_avoided,-2.44,none,0,-3.202,-1.72,-3.202,-1.72
none,0.01,net_intervention_avoided,-0.7199999999999998,none,0,-1.1009999999999998,-0.3599999999999997,-1.1009999999999998,-0.3599999999999997
none,0.0141,net_intervention_avoided,-0.21985815602836875,none,0,-0.4900709219858156,0.035460992907801546,-0.4900709219858156,0.035460992907801546
none,0.02,net_intervention_avoided,0.14000000000000012,none,0,-0.05049999999999991,0.3200000000000002,-0.05049999999999991,0.3200000000000002
none,0.03,net_intervention_avoided,0.42666666666666675,none,0,0.29966666666666664,0.5466666666666666,0.29966666666666664,0.5466666666666666
none,0.04,net_intervention_avoided,0.5700000000000001,none,0,0.47475000000000006,0.66,0.47475000000000006,0.66
none,0.05,net_intervention_avoided,0.656,none,0,0.5798,0.7280000000000001,0.5798,0.7280000000000001
none,0.1,net_intervention_avoided,0.828,none,0,0.7899,0.8640000000000001,0.7899,0.8640000000000001
none,0.2,net_intervention_avoided,0.914,none,0,0.8949499999999999,0.932,0.8949499999999999,0.932
all,0.005,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.01,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.0141,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.02,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.03,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.04,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.05,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.1,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
all,0.2,pp,5000.0,all,0,5000.0,5000.0,5000.0,5000.0
none,0.005,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,pp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,pp,0.0,none,0,0.0,0.0,0.0,0.0
all,0.005,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,pn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,pn,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.01,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.0141,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.02,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.03,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.04,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.05,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.1,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
none,0.2,pn,5000.0,none,0,5000.0,5000.0,5000.0,5000.0
all,0.005,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.01,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.0141,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.02,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.03,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.04,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.05,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.1,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
all,0.2,tp,86.0,all,0,68.0,105.04999999999998,68.0,105.04999999999998
none,0.005,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,tp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,tp,0.0,none,0,0.0,0.0,0.0,0.0
all,0.005,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.01,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.0141,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.02,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.03,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.04,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.05,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.1,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
all,0.2,fp,4914.0,all,0,4894.95,4932.0,4894.95,4932.0
none,0.005,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.01,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.0141,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.02,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.03,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.04,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.05,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.1,fp,0.0,none,0,0.0,0.0,0.0,0.0
none,0.2,fp,0.0,none,0,0.0,0.0,0.0,0.0
all,0.005,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,tn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,tn,0.0,all,0,0.0,0.0,0.0,0.0
none,0.005,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.01,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.0141,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.02,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.03,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.04,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.05,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.1,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
none,0.2,tn,4914.0,none,0,4894.95,4932.0,4894.95,4932.0
all,0.005,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.01,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.0141,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.02,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.03,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.04,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.05,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.1,fn,0.0,all,0,0.0,0.0,0.0,0.0
all,0.2,fn,0.0,all,0,0.0,0.0,0.0,0.0
