fpr,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.24,tpr,0.813953488372093,fit,0,0.722828939520458,0.8914418543740178,0.722828939520458,0.8914418543740178
0.25,tpr,0.8255813953488372,fit,0,0.7628472222222222,0.895582171012735,0.7628472222222222,0.895582171012735
0.26,tpr,0.8372093023255814,fit,0,0.7753722794959909,0.9058823529411765,0.7753722794959909,0.9058823529411765
0.27,tpr,0.8372093023255814,fit,0,0.7753722794959909,0.9107186459489456,0.7753722794959909,0.9107186459489456
0.28,tpr,0.8604651162790697,fit,0,0.7810591792228391,0.9286628259551243,0.7810591792228391,0.9286628259551243
0.29,tpr,0.8604651162790697,fit,0,0.7947115384615384,0.9389920506769346,0.7947115384615384,0.9389920506769346
0.3,tpr,0.8837209302325582,fit,0,0.8096266968325792,0.9423418423973363,0.8096266968325792,0.9423418423973363
0.31,tpr,0.8837209302325582,fit,0,0.8159989316239316,0.9423418423973363,0.8159989316239316,0.9423418423973363
0.32,tpr,0.8837209302325582,fit,0,0.8159989316239316,0.9423418423973363,0.8159989316239316,0.9423418423973363
0.33,tpr,0.8837209302325582,fit,0,0.8159989316239316,0.9439465408805031,0.8159989316239316,0.9439465408805031
0.34,tpr,0.8953488372093024,fit,0,0.8217532051282052,0.9453853046594982,0.8217532051282052,0.9453853046594982
0.35,tpr,0.9069767441860465,fit,0,0.8270358499525166,0.9528884572697003,0.8270358499525166,0.9528884572697003
0.36,tpr,0.9069767441860465,fit,0,0.8469907407407408,0.9528884572697003,0.8469907407407408,0.9528884572697003
0.37,tpr,0.9069767441860465,fit,0,0.8469907407407408,0.9563082437275986,0.8469907407407408,0.9563082437275986
0.38,tpr,0.9186046511627907,fit,0,0.8619152227722773,0.961038961038961,0.8619152227722773,0.961038961038961
0.39,tpr,0.9302325581395349,fit,0,0.8796000788022065,0.9668713343108505,0.8796000788022065,0.9668713343108505
0.4,tpr,0.9302325581395349,fit,0,0.8796000788022065,0.9768875502008032,0.8796000788022065,0.9768875502008032
0.41,tpr,0.9418604651162791,fit,0,0.8888888888888888,0.9833880037488284,0.8888888888888888,0.9833880037488284
0.42,tpr,0.9534883720930233,fit,0,0.901058681185723,0.9888295880149813,0.901058681185723,0.9888295880149813
0.43,tpr,0.9651162790697675,fit,0,0.9233674463937622,0.9888295880149813,0.9233674463937622,0.9888295880149813
0.44,tpr,0.9651162790697675,fit,0,0.9379679144385027,0.9890157004830917,0.9379679144385027,0.9890157004830917
0.45,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.46,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.47,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.48,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.49,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.5,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.51,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.52,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.53,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
0.54,tpr,0.9651162790697675,fit,0,0.9414477441462021,0.9890157004830917,0.9414477441462021,0.9890157004830917
