sens,metric_name,metric_value,model_name,m,q025,q975,ci_low,ci_high
0.99,interp,1.0,fit,0,1.0,1.0,1.0,1.0
0.95,interp,1.0,fit,0,0.0,1.0,0.0,1.0
0.9,interp,1.0,fit,0,0.0,1.0,0.0,1.0
0.85,interp,1.0,fit,0,0.0,1.0,0.0,1.0
0.813953488372093,interp,0.0,fit,0,0.0,0.0,0.0,0.0
0.8,interp,1.0,fit,0,0.0,1.0,0.0,1.0
0.5,interp,0.0,fit,0,0.0,1.0,0.0,1.0
0.99,pp,3591.14,fit,0,2872.447,3639.4515,2872.447,3639.4515
0.95,pp,2138.7,fit,0,1778.2337499999999,2861.4737499999997,1778.2337499999999,2861.4737499999997
0.9,pp,1796.4,fit,0,1311.205,2153.8799999999997,1311.205,2153.8799999999997
0.85,pp,1442.1,fit,0,1189.75,1851.6862499999993,1189.75,1851.6862499999993
0.813953488372093,pp,1244.0,fit,0,1284.0,1284.0,1284.0,1284.0
0.8,pp,1238.8,fit,0,770.325,1514.8199999999997,770.325,1514.8199999999997
0.5,pp,353.0,fit,0,247.2375,488.525,247.2375,488.525
0.99,pn,1408.86,fit,0,1360.5484999999999,2127.553,1360.5484999999999,2127.553
0.95,pn,2861.3,fit,0,2138.52625,3221.76625,2138.52625,3221.76625
0.9,pn,3203.6,fit,0,2846.12,3688.795,2846.12,3688.795
0.85,pn,3557.9,fit,0,3148.31375,3810.25,3148.31375,3810.25
0.813953488372093,pn,3756.0,fit,0,3716.0,3716.0,3716.0,3716.0
0.8,pn,3761.2,fit,0,3485.18,4229.674999999999,3485.18,4229.674999999999
0.5,pn,4647.0,fit,0,4511.475,4752.7625,4511.475,4752.7625
0.99,pp_per_cancer,42.179234202490015,fit,0,30.4281569465393,51.817553120266446,30.4281569465393,51.817553120266446
0.95,pp_per_cancer,26.177478580171357,fit,0,19.76471000240941,38.645595918510445,19.76471000240941,38.645595918510445
0.9,pp_per_cancer,23.209302325581394,fit,0,15.822968628755127,32.354983660130706,15.822968628755127,32.354983660130706
0.85,pp_per_cancer,19.72777017783858,fit,0,15.090509229951127,28.56628003314001,15.090509229951127,28.56628003314001
0.813953488372093,pp_per_cancer,17.771428571428572,fit,0,18.34285714285714,18.34285714285714,18.34285714285714,18.34285714285714
0.8,pp_per_cancer,18.00581395348837,fit,0,11.407421965991148,23.904296875,11.407421965991148,23.904296875
0.5,pp_per_cancer,8.209302325581396,fit,0,5.516914852997328,11.826704545454543,5.516914852997328,11.826704545454543
0.99,pp1000,718.2280000000001,fit,0,574.4894,727.8902999999999,574.4894,727.8902999999999
0.95,pp1000,427.73999999999995,fit,0,355.64675,572.29475,355.64675,572.29475
0.9,pp1000,359.28000000000003,fit,0,262.241,430.7759999999999,262.241,430.7759999999999
0.85,pp1000,288.41999999999996,fit,0,237.95,370.33724999999987,237.95,370.33724999999987
0.813953488372093,pp1000,248.79999999999998,fit,0,256.79999999999995,256.79999999999995,256.79999999999995,256.79999999999995
0.8,pp1000,247.76,fit,0,154.06500000000003,302.96399999999994,154.06500000000003,302.96399999999994
0.5,pp1000,70.6,fit,0,49.4475,97.705,49.4475,97.705
0.99,pn1000,281.77200000000005,fit,0,272.1097,425.51059999999995,272.1097,425.51059999999995
0.95,pn1000,572.26,fit,0,427.70525000000004,644.35325,427.70525000000004,644.35325
0.9,pn1000,640.7199999999999,fit,0,569.224,737.759,569.224,737.759
0.85,pn1000,711.58,fit,0,629.6627500000001,762.05,629.6627500000001,762.05
0.813953488372093,pn1000,751.1999999999999,fit,0,743.1999999999999,743.1999999999999,743.1999999999999,743.1999999999999
0.8,pn1000,752.2399999999999,fit,0,697.036,845.9349999999998,697.036,845.9349999999998
0.5,pn1000,929.4,fit,0,902.295,950.5525,902.295,950.5525
0.99,tp1000,17.028000000000006,fit,0,13.463999999999999,20.799899999999994,13.463999999999999,20.799899999999994
0.95,tp1000,16.34,fit,0,12.92,19.959499999999995,12.92,19.959499999999995
0.9,tp1000,15.48,fit,0,12.24,18.908999999999995,12.24,18.908999999999995
0.85,tp1000,14.62,fit,0,11.559999999999999,17.858499999999996,11.559999999999999,17.858499999999996
0.813953488372093,tp1000,14.0,fit,0,14.0,14.0,14.0,14.0
0.8,tp1000,13.76,fit,0,10.88,16.808,10.88,16.808
0.5,tp1000,8.6,fit,0,6.8,10.504999999999999,6.8,10.504999999999999
0.99,fp1000,701.2000000000002,fit,0,554.78,713.6,554.78,713.6
0.95,fp1000,411.4,fit,0,336.68,556.14,336.68,556.14
0.9,fp1000,343.8,fit,0,245.88500000000002,415.66499999999996,245.88500000000002,415.66499999999996
0.85,fp1000,273.8,fit,0,222.99,354.99499999999983,222.99,354.99499999999983
0.813953488372093,fp1000,234.8,fit,0,242.79999999999998,242.79999999999998,242.79999999999998,242.79999999999998
0.8,fp1000,234.0,fit,0,140.22500000000002,289.28999999999996,140.22500000000002,289.28999999999996
0.5,fp1000,62.0,fit,0,40.39,88.21,40.39,88.21
0.99,tn1000,281.6000000000001,fit,0,271.95,425.30999999999995,271.95,425.30999999999995
0.95,tn1000,571.4,fit,0,426.855,643.355,426.855,643.355
0.9,tn1000,639.0,fit,0,567.545,735.9449999999999,567.545,735.9449999999999
0.85,tn1000,709.0,fit,0,626.905,759.41,626.905,759.41
0.813953488372093,tn1000,748.0,fit,0,740.0,740.0,740.0,740.0
